person,name_x,party_x,VoteAlong113thRatio,VoteAlong114thRatio,VoteAlong115thRatio,VoteAlong116thRatio,party_short,Last_name,Suffix,LastName,ID_NameParty,Pure_name,FirstName,first,last,party_y,donations2012,donations2014,donations2016,donations2018,pageid,wikidataid,wikititle,name_y,sex,ethnicity,religion,birth,death,birthplace,deathplace,Number_Sessions_Served,Session_113,Session_114,Session_115,Session_116
412319,"Rep. Paul Tonko [D, 2013-2022]",Democrat,0.25,0.3333333333333333,0.8,1.0,D, Paul Tonko ,Tonko,Tonko,PaulTonkoD, Paul Tonko ,Paul,Paul,Tonko,D,,,,,6984664.0,Q1373548,Paul_Tonko,Paul Tonko,male,white,,1949-06-18,,"42.9433,-74.1903",,4.0,True,True,True,True
412327,"Rep. Marcia Fudge [D, 2008-2021]",Democrat,0.25,0.3333333333333333,0.8,1.0,D, Marcia Fudge ,Fudge,Fudge,MarciaFudgeD, Marcia Fudge ,Marcia,Marcia,Fudge,D,,,,,19286605.0,Q461746,Marcia_Fudge,Marcia Fudge,female,black,,1952-10-29,,"41.48222,-81.66972",,4.0,True,True,True,True
412331,"Rep. Mike Quigley [D, 2009-2022]",Democrat,0.25,0.3333333333333333,0.8,1.0,D, Mike Quigley ,Quigley,Quigley,MikeQuigleyD, Mike Quigley ,Mike,,,,,,,,,,,,,,,,,,,,,,,
412379,"Rep. Judy Chu [D, 2013-2022]",Democrat,0.25,0.3333333333333333,0.6,1.0,D, Judy Chu ,Chu,Chu,JudyChuD, Judy Chu ,Judy,Judy,Chu,D,2000.0,3000.0,2000.0,1000.0,7197854.0,Q460035,Judy_Chu,Judy Chu,female,asian,,1953-07-07,,"34.05,-118.25",,4.0,True,True,True,True
412382,"Rep. John Garamendi [D, 2013-2022]",Democrat,0.75,0.3333333333333333,0.8,1.0,D, John Garamendi ,Garamendi,Garamendi,JohnGaramendiD, John Garamendi ,John,John,Garamendi,D,2000.0,2000.0,0.0,5400.0,1602620.0,Q1340268,John_Garamendi,John Garamendi,male,hispanic,,1945-01-24,,"29.9519,-81.9799",,4.0,True,True,True,True
412383,"Rep. William Owens [D, 2013-2014]",Democrat,0.75,,,,D, William Owens ,Owens,Owens,WilliamOwensD, William Owens ,William,,,,,,,,,,,,,,,,,,,,,,,
412385,"Rep. Theodore “Ted” Deutch [D, 2013-2016]",Democrat,0.25,0.3333333333333333,,,D, Theodore “Ted” Deutch ,Deutch,Deutch,TheodoreDeutchD, Theodore “Ted” Deutch ,Theodore,,,,,,,,,,,,,,,,,,,,,,,
412396,"Rep. Terri Sewell [D, 2011-2022]",Democrat,0.75,0.3333333333333333,0.8,1.0,D, Terri Sewell ,Sewell,Sewell,TerriSewellD, Terri Sewell ,Terri,Terri,Sewell,D,,,,,22136277.0,Q461621,Terri_Sewell,Terri Sewell,female,black,,1965-01-01,,"34.71361,-86.58611",,4.0,True,True,True,True
412404,"Rep. Karen Bass [D, 2013-2022]",Democrat,0.0,0.3333333333333333,0.6,1.0,D, Karen Bass ,Bass,Bass,KarenBassD, Karen Bass ,Karen,Karen,Bass,D,0.0,6050.0,2000.0,500.0,8722536.0,Q461739,Karen_Bass,Karen Bass,female,black,,1953-10-03,,"34.05,-118.25",,4.0,True,True,True,True
412407,"Rep. John Carney [D, 2011-2016]",Democrat,0.5,0.3333333333333333,,,D, John Carney ,Carney,Carney,JohnCarneyD, John Carney ,John,,,,,,,,,,,,,,,,,,,,,,,
