party_short,donations_dollars,partyline_percent,donations_dollars_lag,data_use,MODELING_GROUP,democrat
D,0.0,0.6666666666666666,0.0,0.7385,TESTING,1
D,0.0,0.8,0.0,0.7385,TESTING,1
D,0.0,1.0,,0.7385,TESTING,1
D,0.0,1.0,,0.0502,TRAINING,1
D,500.0,0.6,0.0,0.0502,TRAINING,1
D,0.0,0.0,0.0,0.0502,TRAINING,1
D,0.0,0.3333333333333333,500.0,0.0502,TRAINING,1
R,0.0,1.0,0.0,0.691,TESTING,0
R,0.0,0.6666666666666666,0.0,0.691,TESTING,0
R,0.0,0.8,0.0,0.691,TESTING,0
R,0.0,0.0,,0.691,TESTING,0
R,0.0,0.0,,0.9062,TESTING,0
R,0.0,1.0,0.0,0.9062,TESTING,0
R,0.0,0.6666666666666666,0.0,0.9062,TESTING,0
R,0.0,0.6,0.0,0.9062,TESTING,0
R,5000.0,0.0,,0.6938,TESTING,0
R,6000.0,0.8,5000.0,0.6938,TESTING,0
R,0.0,0.5,0.0,0.6938,TESTING,0
R,0.0,0.6666666666666666,6000.0,0.6938,TESTING,0
R,0.0,0.5,0.0,0.4488,TRAINING,0
R,0.0,0.6666666666666666,1000.0,0.4488,TRAINING,0
R,1000.0,0.8,0.0,0.4488,TRAINING,0
R,0.0,0.0,,0.4488,TRAINING,0
R,0.0,0.75,0.0,0.0206,TRAINING,0
R,0.0,0.6666666666666666,0.0,0.0206,TRAINING,0
R,0.0,0.8,0.0,0.0206,TRAINING,0
R,0.0,0.0,,0.0206,TRAINING,0
R,0.0,0.0,,0.5134,TRAINING,0
R,0.0,0.8,0.0,0.5134,TRAINING,0
R,0.0,0.6666666666666666,0.0,0.5134,TRAINING,0
R,0.0,0.75,0.0,0.5134,TRAINING,0
R,1000.0,0.75,1000.0,0.5977,TESTING,0
R,1000.0,0.6666666666666666,1000.0,0.5977,TESTING,0
R,1000.0,0.6,0.0,0.5977,TESTING,0
R,0.0,0.0,,0.5977,TESTING,0
R,0.0,0.75,0.0,0.7721,TESTING,0
R,0.0,0.6666666666666666,0.0,0.7721,TESTING,0
R,0.0,0.8,0.0,0.7721,TESTING,0
R,0.0,0.0,,0.7721,TESTING,0
R,0.0,0.8,0.0,0.7035,TESTING,0
R,0.0,0.0,,0.7035,TESTING,0
R,0.0,0.75,0.0,0.7035,TESTING,0
R,0.0,1.0,0.0,0.7035,TESTING,0
R,0.0,0.0,,0.1484,TRAINING,0
R,0.0,0.8,0.0,0.1484,TRAINING,0
R,0.0,0.6666666666666666,0.0,0.1484,TRAINING,0
