person,Year,party_short,donations_dollars,partyline_percent,donations_dollars_lag,data_use,MODELING_GROUP,democrat
157,2014-01-01,D,0.0,0.3333333333333333,0.0,0.2027,TRAINING,1
159,2012-01-01,D,1500.0,0.0,5200.0,0.2695,TRAINING,1
159,2014-01-01,D,5200.0,0.3333333333333333,0.0,0.2695,TRAINING,1
159,2016-01-01,D,0.0,0.6,0.0,0.2695,TRAINING,1
159,2018-01-01,D,0.0,1.0,,0.2695,TRAINING,1
160,2018-01-01,D,0.0,1.0,,0.9687,TESTING,1
160,2012-01-01,D,0.0,0.5,0.0,0.9687,TESTING,1
160,2014-01-01,D,0.0,0.6666666666666666,4200.0,0.9687,TESTING,1
160,2016-01-01,D,4200.0,0.8,0.0,0.9687,TESTING,1
161,2018-01-01,D,0.0,1.0,,0.5258,TRAINING,1
161,2016-01-01,D,0.0,0.6,0.0,0.5258,TRAINING,1
161,2014-01-01,D,1000.0,0.3333333333333333,0.0,0.5258,TRAINING,1
161,2012-01-01,D,0.0,0.0,1000.0,0.5258,TRAINING,1
162,2018-01-01,D,5272.0,1.0,,0.5618,TESTING,1
