person,Year,disney_donations,VoteAlongRatio_Film,VoteAlongRatio_FS_IIR,VoteAlongRatio_FS_FSS,VoteAlongRatio_FS_CM,VoteAlongRatio_FS_REB,disney_donations_lagMinus1,disney_donations_lagPlus1,sex_female,sex_male,ethnicity_asian,ethnicity_black,ethnicity_hispanic,ethnicity_islander,ethnicity_native,ethnicity_white,party_short_D,party_short_R,data_use,MODELING_GROUP
62,2016,19250.0,0.8,0.2857142857142857,0.3333333333333333,0.0,0.0,2500.0,6000.0,0,1,0,0,0,0,0,1,1,0,0.3005,TRAINING
62,2018,2500.0,1.0,1.0,1.0,1.0,1.0,,19250.0,0,1,0,0,0,0,0,1,1,0,0.3005,TRAINING
62,2012,0.0,0.25,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.6666666666666666,6000.0,,0,1,0,0,0,0,0,1,1,0,0.3005,TRAINING
62,2014,6000.0,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,19250.0,0.0,0,1,0,0,0,0,0,1,1,0,0.3005,TRAINING
63,2012,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,0.0,,1,0,0,0,1,0,0,0,1,0,0.4658,TRAINING
63,2014,0.0,0.6666666666666666,0.8,0.3333333333333333,0.4,0.25,0.0,0.0,1,0,0,0,1,0,0,0,1,0,0.4658,TRAINING
63,2016,0.0,0.6,0.2857142857142857,0.4444444444444444,0.5,0.6666666666666666,0.0,0.0,1,0,0,0,1,0,0,0,1,0,0.4658,TRAINING
63,2018,0.0,0.5,0.75,1.0,1.0,1.0,,0.0,1,0,0,0,1,0,0,0,1,0,0.4658,TRAINING
64,2012,1000.0,0.0,0.5,0.3333333333333333,0.5714285714285714,0.6666666666666666,2500.0,,0,1,0,0,0,0,0,1,1,0,0.1899,TRAINING
64,2014,2500.0,0.3333333333333333,0.8,0.3333333333333333,0.4,0.5,0.0,1000.0,0,1,0,0,0,0,0,1,1,0,0.1899,TRAINING
